Question_ID,Vendor,Source Website,Question URL,Source URL,Question,Official Answer,Official Answer Summary,Official Documentation URL(s),Knowledge Asset Category,Technology Domain,Cloud Platform,Presales Category,Business Capability,Question Intent,Question Type,Question Complexity,Question Length,Number of Technologies Mentioned,Document Type,Publication Date,Tags,Accepted Answer Available?,Accepted Answer URL,Answer Confidence,Estimated RFP Relevance (1-5),Public Knowledge Only?,Enterprise Knowledge Required,Notes,Repository_Label,Knowledge_Gap_Category
EPK-0239,AWS,aws.amazon.com,https://aws.amazon.com/efs/faq/,https://aws.amazon.com/efs/faq/,What is the recommended best practice when moving file data to and from on-premises servers?,"Because of the propagation delay tied to data traveling over long distances, the network latency of the network connection between your on-premises datacenter and your Amazon VPC can be tens of milliseconds. If your file operations are serialized, the latency of the network connection directly impacts your read and write throughput; in essence, the volume of data you can read or write during a period of time is bounded by the amount of time it takes for each read and write operation to complete. To maximize your throughput, parallelize your file operations so that multiple reads and writes are processed by Amazon EFS concurrently. Standard tools like GNU parallel help you to parallelize the copying of file data. For more information, see the online documentation .","Because of the propagation delay tied to data traveling over long distances, the network latency of the network connection between your on-premises datacenter and your Amazon VPC can be tens of milliseconds.",https://aws.amazon.com/efs/faq/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,Operations Guide,Networking,AWS,Solution Architecture,Hybrid connectivity and network foundation,Understand capability / terminology,Best Practice,Medium,15,3,FAQ,,"architecture, networking, data",,,High,5,Partially,Public Documentation | Architecture Blueprint | Methodology | SME,"Public documentation gives reusable service guidance, but a complete presales answer needs client-specific current-state, target architecture, delivery assumptions, risks and operating model.",1,Public Documentation | Architecture Blueprint | Methodology | SME
EPK-0240,AWS,aws.amazon.com,https://aws.amazon.com/rds/faqs/,https://aws.amazon.com/rds/faqs/,How do I control the actions that my systems and users can take on specific Amazon RDS resources?,"You can control the actions that your AWS IAM users and groups can take on Amazon RDS resources. You do this by referencing the Amazon RDS resources in the AWS IAM policies that you apply to your users and groups. Amazon RDS resources that can be referenced in an AWS IAM policy include DB instances, DB snapshots, read replicas, DB security groups, DB option groups, DB parameter groups, event subscriptions, and DB subnet groups. In addition, you can tag these resources to add additional metadata to your resources. By using tagging, you can categorize your resources (e.g. ""Development"" DB instances, ""Production"" DB instances, and ""Test"" DB instances), and write AWS IAM policies that list the permissions (i.e. actions) that can be taken on resources with the same tags. For more information, refer to Tagging Amazon RDS Resources .",You can control the actions that your AWS IAM users and groups can take on Amazon RDS resources. You do this by referencing the Amazon RDS resources in the AWS IAM policies that you apply to your users and groups.,https://aws.amazon.com/rds/faqs/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,Security Guide,Security / Governance,AWS,Security & Compliance,"Risk, compliance and identity control",Determine implementation approach,Governance / Security,High,18,3,FAQ,,"security, governance, compliance, data",,,High,5,Partially,Public Documentation | Governance Framework | Risk Register | SME,"Public guidance covers product capabilities, but enterprise response requires controls mapping, data classification, risk acceptance and governance patterns.",3,Public Documentation | Governance Framework | Risk Register | SME
EPK-0241,AWS,aws.amazon.com,https://aws.amazon.com/rds/faqs/,https://aws.amazon.com/rds/faqs/,Why would I use Amazon RDS Proxy?,"Amazon RDS Proxy is a fully managed, highly available, and easy-to-use database proxy feature of Amazon RDS that enables your applications to: 1) improve scalability by pooling and sharing database connections, 2) improve availability by reducing database failover times by up to 66% and preserving application connections during failovers, and 3) improve security by optionally enforcing AWS IAM authentication to databases and securely storing credentials in AWS Secrets Manager.","Amazon RDS Proxy is a fully managed, highly available, and easy-to-use database proxy feature of Amazon RDS that enables your applications to: 1) improve scalability by pooling and sharing database connections, 2) improve availability by reducing database failover times by up to 66% and preserving application connections during failovers, and 3) improve security by optionally enforcing AWS IAM authentication to databases and securely storing credentials in AWS Secrets Manager.",https://aws.amazon.com/rds/faqs/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,Security Guide,Security / Governance,AWS,Security & Compliance,"Risk, compliance and identity control",Assess business rationale,Governance / Security,High,7,4,FAQ,,"security, governance, ai, compliance, data",,,High,5,Partially,Public Documentation | Governance Framework | Risk Register | SME,"Public guidance covers product capabilities, but enterprise response requires controls mapping, data classification, risk acceptance and governance patterns.",3,Public Documentation | Governance Framework | Risk Register | SME
EPK-0242,AWS,aws.amazon.com,https://aws.amazon.com/kms/faqs/,https://aws.amazon.com/kms/faqs/,How does AWS secure the KMS keys that I create?,"AWS KMS is designed so that no one, including AWS employees, can retrieve your plaintext KMS keys from the service. AWS KMS uses hardware security modules (HSMs) that have been validated under FIPS 140-3, or are in the process of being validated, to protect the confidentiality and integrity of your keys. Your plaintext KMS keys never leave the HSMs, are never written to disk, and are only ever used in the volatile memory of the HSMs for the time needed to perform your requested cryptographic operation. Updates to software on the service hosts and to the AWS KMS HSM firmware is controlled by multi-party access control that is audited and reviewed by an independent group within Amazon and a NIST-certified lab in compliance with FIPS 140-3. More details about these security controls can be found in the AWS KMS cryptographic details tech paper . You can also review the FIPS 140-3 certificate for AWS KMS HSMs along with the associated Security Policy to get more details about how AWS KMS HSMs meets the security requirements of FIPS 140-3. Also, you can download a copy of the System and Organization Controls (SOC) report from AWS Artifact to learn more about security controls used by the service to protect your KMS keys.","AWS KMS is designed so that no one, including AWS employees, can retrieve your plaintext KMS keys from the service. AWS KMS uses hardware security modules (HSMs) that have been validated under FIPS 140-3, or are in the process of being validated, to protect the confidentiality and integrity of your keys.",https://aws.amazon.com/kms/faqs/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,Security Guide,Security / Governance,AWS,Solution Architecture,"Risk, compliance and identity control",Determine implementation approach,Architecture,High,10,2,FAQ,,"architecture, security, governance, ai, compliance",,,High,5,Partially,Public Documentation | Architecture Blueprint | Methodology | SME,"Public documentation gives reusable service guidance, but a complete presales answer needs client-specific current-state, target architecture, delivery assumptions, risks and operating model.",1,Public Documentation | Architecture Blueprint | Methodology | SME
EPK-0243,AWS,aws.amazon.com,https://aws.amazon.com/kms/faqs/,https://aws.amazon.com/kms/faqs/,How do I migrate my existing AWS KMS keys to use FIPS 140-3 Security Level 3 validated HSMs?,"You do not need to do anything. All AWS KMS keys, regardless of their creation date or origin are automatically protected using HSMs that have been validated under FIPS 140-3 Security Level 3.","You do not need to do anything. All AWS KMS keys, regardless of their creation date or origin are automatically protected using HSMs that have been validated under FIPS 140-3 Security Level 3.",https://aws.amazon.com/kms/faqs/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,Migration Guide,Security / Governance,AWS,Migration Assessment,"Risk, compliance and identity control",Determine implementation approach,Migration,High,18,2,FAQ,,"migration, security, governance",,,High,5,Partially,Public Documentation | Architecture Blueprint | Methodology | SME,"Public documentation gives reusable service guidance, but a complete presales answer needs client-specific current-state, target architecture, delivery assumptions, risks and operating model.",1,Public Documentation | Architecture Blueprint | Methodology | SME
EPK-0244,AWS,aws.amazon.com,https://aws.amazon.com/kms/faqs/,https://aws.amazon.com/kms/faqs/,Which AWS Regions have FIPS 140-3 Security Level 3 validated HSMs?,"FIPS 140-3 Security Level 3 validated HSMs are deployed in all AWS Regions where AWS KMS is offered. NOTE: By regulation, AWS KMS in China Regions cannot use NIST FIPS HSMs and uses China's Office of the State Commercial Cryptographic Administration (OSCCA) certified HSMs instead.","FIPS 140-3 Security Level 3 validated HSMs are deployed in all AWS Regions where AWS KMS is offered. NOTE: By regulation, AWS KMS in China Regions cannot use NIST FIPS HSMs and uses China's Office of the State Commercial Cryptographic Administration (OSCCA) certified HSMs instead.",https://aws.amazon.com/kms/faqs/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,Security Guide,Security / Governance,AWS,Security & Compliance,"Risk, compliance and identity control",Evaluate options / fit,Governance / Security,High,11,2,FAQ,,"security, governance, compliance",,,High,5,Yes,Public Documentation,"The question asks for a documented fact, service capability, availability, or definition that can be answered using official public documentation.",0,Public Documentation
EPK-0245,AWS,aws.amazon.com,https://aws.amazon.com/kms/faqs/,https://aws.amazon.com/kms/faqs/,How do I make API requests to AWS KMS using the FIPS 140-2 validated endpoints?,You configure your applications to connect to the unique regional FIPS 140-2 validated HTTPS endpoints. AWS KMS FIPS 140-2 validated HTTPS endpoints are powered by the OpenSSL FIPS Object Module . You can review the security policy of the OpenSSL module here. FIPS 140-2 validated API endpoints are available in all commercial Regions where AWS KMS is available.,You configure your applications to connect to the unique regional FIPS 140-2 validated HTTPS endpoints. AWS KMS FIPS 140-2 validated HTTPS endpoints are powered by the OpenSSL FIPS Object Module . You can review the security policy of the OpenSSL module here.,https://aws.amazon.com/kms/faqs/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,Security Guide,Security / Governance,AWS,Security & Compliance,"Risk, compliance and identity control",Determine implementation approach,Governance / Security,High,15,2,FAQ,,"security, governance, ai, compliance",,,High,5,Partially,Public Documentation | Governance Framework | Risk Register | SME,"Public guidance covers product capabilities, but enterprise response requires controls mapping, data classification, risk acceptance and governance patterns.",3,Public Documentation | Governance Framework | Risk Register | SME
EPK-0246,AWS,aws.amazon.com,https://aws.amazon.com/kms/faqs/,https://aws.amazon.com/kms/faqs/,Can I use AWS KMS to help me comply with the encryption and key management requirements in the Payment Card Industry Data Security Standard (PCI DSS 3.2.1)?,"Yes. AWS KMS has been validated as having the functionality and security controls to help you meet the encryption and key management requirements (primarily referenced in sections 3.5 and 3.6) of the PCI DSS 3.2.1. For more details on PCI DSS compliant services in AWS, you can read the PCI DSS FAQs .","Yes. AWS KMS has been validated as having the functionality and security controls to help you meet the encryption and key management requirements (primarily referenced in sections 3.5 and 3.6) of the PCI DSS 3.2.1. For more details on PCI DSS compliant services in AWS, you can read the PCI DSS FAQs .",https://aws.amazon.com/kms/faqs/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,Security Guide,Security / Governance,AWS,Security & Compliance,"Risk, compliance and identity control",Request presales guidance,Governance / Security,High,27,2,FAQ,,"security, governance, ai, compliance, data",,,High,5,Yes,Public Documentation,"The question asks for a documented fact, service capability, availability, or definition that can be answered using official public documentation.",0,Public Documentation
EPK-0247,AWS,aws.amazon.com,https://aws.amazon.com/kms/faqs/,https://aws.amazon.com/kms/faqs/,Can I export an AWS KMS key and use it in my own applications?,"No. AWS KMS keys are created and used only within the service to help verify their security, implement your policies to be consistently enforced, and provide a centralized log of their use.","No. AWS KMS keys are created and used only within the service to help verify their security, implement your policies to be consistently enforced, and provide a centralized log of their use.",https://aws.amazon.com/kms/faqs/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,Security Guide,Security / Governance,AWS,Security & Compliance,"Risk, compliance and identity control",Request presales guidance,Governance / Security,High,14,2,FAQ,,"security, governance, compliance",,,High,5,Partially,Public Documentation | Governance Framework | Risk Register | SME,"Public guidance covers product capabilities, but enterprise response requires controls mapping, data classification, risk acceptance and governance patterns.",3,Public Documentation | Governance Framework | Risk Register | SME
EPK-0248,AWS,aws.amazon.com,https://aws.amazon.com/kms/faqs/,https://aws.amazon.com/kms/faqs/,What’s the difference between a key I import and a key I generate in AWS KMS?,"There are two main differences: You are responsible for maintaining a copy of your imported keys in your key management infrastructure so that you can re-import them at any time. AWS, however, verifies the availability, security, and durability of keys generated by AWS KMS on your behalf until you schedule the keys for deletion. You may set an expiration period for an imported key. AWS KMS will automatically delete the key material after the expiration period. You can also delete imported key material on demand. In both cases the key material itself is deleted but the KMS key reference in AWS KMS and associated metadata are retained so that the key material can be re-imported in the future. Keys generated by AWS KMS do not have an expiration time and cannot be deleted immediately; there is a mandatory 7 to 30 day wait period. All customer managed KMS keys, regardless of whether the key material was imported, can be manually disabled or scheduled for deletion. In this case the KMS key itself is deleted, not just the underlying key material.","There are two main differences: You are responsible for maintaining a copy of your imported keys in your key management infrastructure so that you can re-import them at any time. AWS, however, verifies the availability, security, and durability of keys generated by AWS KMS on your behalf until you schedule the keys for deletion.",https://aws.amazon.com/kms/faqs/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,Security Guide,Security / Governance,AWS,Security & Compliance,"Risk, compliance and identity control",Request presales guidance,Governance / Security,High,16,2,FAQ,,"security, governance, ai, compliance, data",,,High,5,Partially,Public Documentation | Governance Framework | Risk Register | SME,"Public guidance covers product capabilities, but enterprise response requires controls mapping, data classification, risk acceptance and governance patterns.",3,Public Documentation | Governance Framework | Risk Register | SME
EPK-0249,AWS,aws.amazon.com,https://aws.amazon.com/lambda/faqs/,https://aws.amazon.com/lambda/faqs/,Q: How does suspend and resume work for Lambda MicroVMs?,"When a MicroVM is suspended, its full memory and disk state is preserved for up to 8 hours and you are no longer charged for compute usage. Suspended MicroVMs can be resumed automatically or programmatically with near-instant speed through snapshotting. Use suspend and resume to retain session context across interactions, while reducing costs during idle periods. Some applications may need to integrate with service-provided hooks when resuming from snapshots, such as to re-establish network connections or refresh cached values. For more information, visit the Lambda MicroVMs developer guide .","When a MicroVM is suspended, its full memory and disk state is preserved for up to 8 hours and you are no longer charged for compute usage. Suspended MicroVMs can be resumed automatically or programmatically with near-instant speed through snapshotting.",https://aws.amazon.com/lambda/faqs/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,Pricing Guidance,Networking,AWS,Solution Architecture,Hybrid connectivity and network foundation,Request presales guidance,Commercial / Pricing,Low,10,1,FAQ,,"architecture, networking, cost, ai",,,High,5,Partially,Public Documentation | Commercial Model | Pricing Template | SME,"Public documentation explains pricing constructs, but an RFP answer needs sizing, discounts, contractual assumptions and client-specific consumption estimates.",2,Public Documentation | Commercial Model | Pricing Template | SME
EPK-0250,AWS,aws.amazon.com,https://aws.amazon.com/cloudwatch/faqs/,https://aws.amazon.com/cloudwatch/faqs/,What logs can I query with CloudWatch Logs Insights?,"You can use Logs Insights to query all logs being sent to CloudWatch. Logs Insights automatically discovers the logs fields from logs from AWS services such as Lambda, CloudTrail, Route53, and VPC Flow Logs; and any application log that generates log events in JSON format. Additionally, for all log types, it generates 3 system fields @message, @logStream, and @timestamp for all logs sent to CloudWatch. @message contains the raw unparsed log event, @logStream contains the name of the source that generated the log event, and @timestamp contains the time at which the log event was added to CloudWatch.","You can use Logs Insights to query all logs being sent to CloudWatch. Logs Insights automatically discovers the logs fields from logs from AWS services such as Lambda, CloudTrail, Route53, and VPC Flow Logs; and any application log that generates log events in JSON format.",https://aws.amazon.com/cloudwatch/faqs/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,Operations Guide,Networking,AWS,Solution Architecture,Hybrid connectivity and network foundation,Request presales guidance,Architecture,High,9,5,FAQ,,"architecture, networking, ai",,,High,5,Partially,Public Documentation | Architecture Blueprint | Methodology | SME,"Public documentation gives reusable service guidance, but a complete presales answer needs client-specific current-state, target architecture, delivery assumptions, risks and operating model.",1,Public Documentation | Architecture Blueprint | Methodology | SME
EPK-0251,AWS,aws.amazon.com,https://aws.amazon.com/s3/faqs/,https://aws.amazon.com/s3/faqs/,Do table buckets support encryption at rest for my table data?,"Yes, data in table buckets are encrypted by default using server-side encryption, ensuring baseline protection for your data at rest. For enhanced security, you have the option to encrypt your data in S3 Tables using your own encryption keys. These keys are created and managed within your AWS account via AWS Key Management Service (AWS KMS). With KMS, there are separate permissions for the use of the KMS key, adding an extra layer of control and protection against unauthorized access to your tables stored in table buckets. Additionally, KMS generates a detailed audit trail, allowing you to track who accessed which table and when, using your key. KMS also offers additional security controls to support your efforts in complying with industry requirements such as PCI-DSS, HIPAA/HITECH, and FedRAMP. This comprehensive approach to encryption and key management delivers the security and flexibility needed to protect your sensitive data effectively.","Yes, data in table buckets are encrypted by default using server-side encryption, ensuring baseline protection for your data at rest. For enhanced security, you have the option to encrypt your data in S3 Tables using your own encryption keys.",https://aws.amazon.com/s3/faqs/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,Security Guide,Security / Governance,AWS,Security & Compliance,"Risk, compliance and identity control",Request presales guidance,Governance / Security,High,11,3,FAQ,,"security, governance, ai, compliance, data",,,High,5,Partially,Public Documentation | Governance Framework | Risk Register | SME,"Public guidance covers product capabilities, but enterprise response requires controls mapping, data classification, risk acceptance and governance patterns.",3,Public Documentation | Governance Framework | Risk Register | SME
EPK-0252,AWS,aws.amazon.com,https://aws.amazon.com/s3/faqs/,https://aws.amazon.com/s3/faqs/,What options do I have for encrypting data stored on Amazon S3?,"Amazon S3 encrypts all new data uploads to any bucket. Amazon S3 applies S3-managed server-side encryption (SSE-S3) as the base level of encryption to all object uploads (as of January 5, 2023) . SSE-S3 provides a fully-managed solution where Amazon handles key management and key protection using multiple layers of security. You should continue to use SSE-S3 if you prefer to have Amazon manage your keys. Additionally, you can choose to encrypt data using SSE-C, SSE-KMS, DSSE-KMS, or a client library such as the Amazon S3 Encryption Client. Each option allows you to store sensitive data encrypted at rest in Amazon S3. SSE-C allows Amazon S3 to perform encryption and decryption of objects, while you retain control of the encryption keys. With SSE-C, you don’t need to implement or use a client-side library to perform the encryption and decryption of objects you store in Amazon S3, but you do need to manage the keys that you send to Amazon S3 to encrypt and decrypt objects. Use SSE-C if you want to maintain your own encryption keys, but don’t want to implement or leverage a client-side encryption library. SSE-KMS lets AWS Key Management Service (AWS KMS) manage your encryption keys. Using AWS KMS to manage your keys provides several additional benefits. With AWS KMS, there are separate permissions for the use of the KMS key, providing an additional layer of control and protection against unauthorized access to your objects stored in Amazon S3. AWS KMS provides an audit trail so you can see who used your key to access which object and when, as well as view failed attempts to access data from users without permission to decrypt the data. Also, AWS KMS provides additional security controls to support customer efforts to comply with PCI-DSS, HIPAA/HITECH, and FedRAMP industry requirements. DSSE-KMS simplifies the process of applying two layers of encryption to your data, without having to invest in infrastructure required for client-side encryption. Each layer of encryption uses a different implementation of the 256-bit Advanced Encryption Standard with Galois Counter Mode (AES-GCM) algorithm and is vetted and accepted for use on top-secret workloads. DSSE-KMS uses AWS KMS to generate data keys, and lets AWS KMS manage your encryption keys. With AWS KMS, there are separate permissions for the use of the KMS key, providing an additional layer of control and protection against unauthorized access to your objects stored in Amazon S3. AWS KMS provides an audit trail s","Amazon S3 encrypts all new data uploads to any bucket. Amazon S3 applies S3-managed server-side encryption (SSE-S3) as the base level of encryption to all object uploads (as of January 5, 2023) . SSE-S3 provides a fully-managed solution where Amazon handles key management and key protection using multiple layers of security.",https://aws.amazon.com/s3/faqs/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,Security Guide,Security / Governance,AWS,Solution Architecture,"Risk, compliance and identity control",Request presales guidance,Best Practice,High,12,3,FAQ,,"architecture, security, governance, ai, data",,,High,5,Partially,Public Documentation | Architecture Blueprint | Methodology | SME,"Public documentation gives reusable service guidance, but a complete presales answer needs client-specific current-state, target architecture, delivery assumptions, risks and operating model.",1,Public Documentation | Architecture Blueprint | Methodology | SME
EPK-0253,AWS,aws.amazon.com,https://aws.amazon.com/secrets-manager/faqs/,https://aws.amazon.com/secrets-manager/faqs/,How does AWS Secrets Manager keep my secrets secure?,"AWS Secrets Manager encrypts at rest using encryption keys that you own and store in AWS Key Management Service (KMS). You can control access to the secret using AWS Identity and Access Management (IAM) policies. When you retrieve a secret, Secrets Manager decrypts the secret and transmits it securely over TLS to your local environment. By default, Secrets Manager does not write or cache the secret to persistent storage.","AWS Secrets Manager encrypts at rest using encryption keys that you own and store in AWS Key Management Service (KMS). You can control access to the secret using AWS Identity and Access Management (IAM) policies. When you retrieve a secret, Secrets Manager decrypts the secret and transmits it securely over TLS to your local environment.",https://aws.amazon.com/secrets-manager/faqs/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,Security Guide,Security / Governance,AWS,Security & Compliance,"Risk, compliance and identity control",Determine implementation approach,Implementation,High,9,4,FAQ,,"security, governance, identity, compliance",,,High,5,Partially,Public Documentation | Governance Framework | Risk Register | SME,"Public guidance covers product capabilities, but enterprise response requires controls mapping, data classification, risk acceptance and governance patterns.",3,Public Documentation | Governance Framework | Risk Register | SME
EPK-0254,AWS,aws.amazon.com,https://aws.amazon.com/kms/faqs/,https://aws.amazon.com/kms/faqs/,Who can use and manage my keys in AWS KMS?,AWS KMS enforces usage and management policies that you define. You can choose to allow IAM users and roles from your account or other accounts to use and manage your keys.,AWS KMS enforces usage and management policies that you define. You can choose to allow IAM users and roles from your account or other accounts to use and manage your keys.,https://aws.amazon.com/kms/faqs/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,Security Guide,Security / Governance,AWS,Security & Compliance,"Risk, compliance and identity control",Request presales guidance,Informational,High,10,3,FAQ,,"security, governance, compliance",,,High,5,Partially,Public Documentation | Governance Framework | Risk Register | SME,"Public guidance covers product capabilities, but enterprise response requires controls mapping, data classification, risk acceptance and governance patterns.",3,Public Documentation | Governance Framework | Risk Register | SME
EPK-0255,AWS,aws.amazon.com,https://aws.amazon.com/kms/faqs/,https://aws.amazon.com/kms/faqs/,What types of authorization policies can I build for XKS keys?,"All of the usual AWS KMS authorization mechanisms — IAM policies, AWS KMS key policies, grants — that you use with other KMS keys, work the same way for KMS keys in external key stores. In addition, your and/or your external key manager partners have the ability to implement a secondary layer of authorization controls based on request metadata included with each request sent from AWS KMS to the XKS Proxy. This metadata includes the calling AWS user/role, the KMS key ARN, and the specific KMS API that was requested. This allows you to apply fine-grained authorization policy on the use of a key in your external key manager beyond simply trusting any request from AWS KMS. The choice of policy enforcement using these request attributes are left to your individual XKS Proxy implementations.","All of the usual AWS KMS authorization mechanisms — IAM policies, AWS KMS key policies, grants — that you use with other KMS keys, work the same way for KMS keys in external key stores.",https://aws.amazon.com/kms/faqs/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,Security Guide,Security / Governance,AWS,Security & Compliance,"Risk, compliance and identity control",Request presales guidance,Governance / Security,High,11,3,FAQ,,"security, governance, ai, compliance, data",,,High,5,Partially,Public Documentation | Governance Framework | Risk Register | SME,"Public guidance covers product capabilities, but enterprise response requires controls mapping, data classification, risk acceptance and governance patterns.",3,Public Documentation | Governance Framework | Risk Register | SME
EPK-0256,AWS,aws.amazon.com,https://aws.amazon.com/guardduty/faqs/,https://aws.amazon.com/guardduty/faqs/,Which data sources does GuardDuty analyze?,"The foundational data sources that GuardDuty analyzes include: AWS CloudTrail management event logs, CloudTrail management events, and Amazon EC2 VPC Flow Logs and DNS query logs. GuardDuty protection plans monitor other resource types, including CloudTrail S3 data events (S3 Protection), Amazon EKS audit logs and runtime activity for Amazon EKS (EKS Protection), Amazon ECS runtime activity (ECS Runtime Monitoring), Amazon EC2 runtime activity (EC2 Runtime Monitoring), Amazon EBS volume data (Malware Protectionfor EC2), S3 object upload data (Malware Protection for S3), and AWS Backup data (Malware Protection for AWS Backup), Amazon Aurora login events (RDS Protection), and network activity logs (Lambda Protection). The service is optimized to consume large data volumes for near real-time processing of security detections. GuardDuty provides access to built-in detection techniques developed and optimized for the cloud, which are maintained and continuously improved upon by GuardDuty engineering.","The foundational data sources that GuardDuty analyzes include: AWS CloudTrail management event logs, CloudTrail management events, and Amazon EC2 VPC Flow Logs and DNS query logs.",https://aws.amazon.com/guardduty/faqs/ | https://aws.amazon.com/?nc2=h_home | https://aws.amazon.com/contact-us/?nc2=h_ut_cu | https://aws.amazon.com/marketplace?nc2=h_utmp | https://console.aws.amazon.com/console/home/?nc2=h_si&src=header-signin,Security Guide,Security / Governance,AWS,Solution Architecture,"Risk, compliance and identity control",Evaluate options / fit,Architecture,High,6,11,FAQ,,"architecture, security, governance, backup, ai, monitoring, data",,,High,5,Partially,Public Documentation | Architecture Blueprint | Methodology | SME,"Public documentation gives reusable service guidance, but a complete presales answer needs client-specific current-state, target architecture, delivery assumptions, risks and operating model.",1,Public Documentation | Architecture Blueprint | Methodology | SME
